2026-08-30T14:16:47.149134 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:17:18.475601 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:17:49.974030 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:18:24.612727 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:19:22.879929 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:19:54.623488 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:20:28.137496 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:21:06.939019 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:21:43.642115 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:22:22.784726 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:23:06.917617 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:23:44.656560 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:24:24.467489 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:24:59.645707 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:25:37.324918 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:26:11.095956 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:26:52.218190 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:27:39.699904 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:28:21.462298 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:28:59.042418 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:29:42.173072 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:30:20.026563 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:31:05.576247 | CASH: $100.00 | OPEN: $0.00 | EQUITY: $100.00 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:31:45.190080 | CASH: $97.99 | OPEN: $2.00 | EQUITY: $99.99 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $-0.01 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:32:31.077325 | CASH: $97.99 | OPEN: $3.07 | EQUITY: $101.06 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $1.06 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:33:12.380211 | CASH: $97.99 | OPEN: $3.10 | EQUITY: $101.10 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $1.10 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:33:57.997269 | CASH: $97.99 | OPEN: $3.78 | EQUITY: $101.77 | REALIZED_PNL: $0.00 | UNREALIZED_PNL: $1.77 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:34:50.602501 | CASH: $98.97 | OPEN: $2.00 | EQUITY: $100.97 | REALIZED_PNL: $0.98 | UNREALIZED_PNL: $-0.01 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:35:43.302296 | CASH: $98.40 | OPEN: $2.00 | EQUITY: $100.39 | REALIZED_PNL: $0.40 | UNREALIZED_PNL: $-0.01 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:36:50.530438 | CASH: $98.40 | OPEN: $1.98 | EQUITY: $100.37 | REALIZED_PNL: $0.40 | UNREALIZED_PNL: $-0.03 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:38:01.043136 | CASH: $98.04 | OPEN: $2.00 | EQUITY: $100.04 | REALIZED_PNL: $0.05 | UNREALIZED_PNL: $-0.01 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:39:01.949279 | CASH: $97.47 | OPEN: $2.00 | EQUITY: $99.47 | REALIZED_PNL: $-0.52 | UNREALIZED_PNL: $-0.01 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:39:58.118751 | CASH: $97.47 | OPEN: $2.32 | EQUITY: $99.79 | REALIZED_PNL: $-0.52 | UNREALIZED_PNL: $0.31 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:40:54.378421 | CASH: $97.47 | OPEN: $1.93 | EQUITY: $99.41 | REALIZED_PNL: $-0.52 | UNREALIZED_PNL: $-0.07 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:41:41.047460 | CASH: $97.47 | OPEN: $1.98 | EQUITY: $99.45 | REALIZED_PNL: $-0.52 | UNREALIZED_PNL: $-0.03 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:42:30.081269 | CASH: $97.10 | OPEN: $2.00 | EQUITY: $99.10 | REALIZED_PNL: $-0.89 | UNREALIZED_PNL: $-0.01 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:43:14.241544 | CASH: $97.10 | OPEN: $1.58 | EQUITY: $98.68 | REALIZED_PNL: $-0.89 | UNREALIZED_PNL: $-0.43 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:44:08.599993 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:44:54.112228 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:45:43.411487 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:46:38.680108 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:47:28.260942 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:48:30.252964 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:49:28.389059 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:50:40.323112 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:51:30.203170 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:52:49.978260 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:54:02.252138 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
