2026-08-31T08:21:53.263045 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-31T08:27:28.842460 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-31T08:32:16.508423 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-31T08:37:12.891579 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-31T08:42:57.730651 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-31T08:51:08.054083 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-31T08:57:36.562042 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-31T16:42:43.343528 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-31T16:50:38.681805 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-31T17:03:05.320488 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-31T17:08:57.737157 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-31T17:13:54.791036 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-31T18:21:20.802370 | CASH: $99.55 | OPEN: $0.00 | EQUITY: $99.55 | REALIZED_PNL: $-0.45 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
